pipeline,precision@5_mean,precision@5_sd,recall@5_mean,recall@5_sd,ndcg@5_mean,ndcg@5_sd
1. Baseline: full image,0.7966666666666666,0.0,0.039833333333333325,0.0,0.7915879570047001,0.0
2. Baseline: random crop,0.7613333333333334,0.0,0.038066666666666665,0.0,0.7664959178010197,0.0
3. Baseline: YOLO crops,0.7133333333333333,0.0,0.03566666666666666,0.0,0.7153672203323749,0.0
4. Baseline: full image + YOLO crops,0.8166666666666667,0.0,0.04083333333333332,0.0,0.8184046588539247,1.2412670766236366e-16
5. Fine-tune: full image,0.9299999999999999,0.0066666666666667235,0.046499999999999986,0.0003333333333333348,0.9263484776192416,0.00934476814349234
6. Fine-tune: random crop,0.8745333333333333,0.006278711828251242,0.04372666666666666,0.0003139355914125609,0.8746872956689662,0.005227382034977878
7. Fine-tune: YOLO crops,0.804,0.00434613493680176,0.04019999999999999,0.00021730674684008645,0.8052354236194299,0.004342896699231866
8. Fine-tune: full image + YOLO crops,0.9506666666666665,0.006411794687223808,0.04753333333333332,0.0003205897343611868,0.9498003918049769,0.008211310318190444
